Timestamp,Age,Gender,Shoe Size,Height,What degree are you studying?,Why are you taking this course?,Which programming languages do you know?,Which phone OS do you prefer?,Which topics would you prefer to learn in this course? [Design efficient databases for large amounts of data],Which topics would you prefer to learn in this course? [Create predictive models (e.g. weather or stock market prediction)],Which topics would you prefer to learn in this course? [Define groups of similar objects (e.g. users from a dating site)],Which topics would you prefer to learn in this course? [Visualise data],Which topics would you prefer to learn in this course? [Study patterns on sets (e.g. Amazon shopping carts)],Which topics would you prefer to learn in this course? [Study patterns on sequences (e.g. exercises on a workout session)],Which topics would you prefer to learn in this course? [Study patterns on graphs (e.g. Facebook)],Which topics would you prefer to learn in this course? [Study patterns on text (e.g. spam mail)],Which topics would you prefer to learn in this course? [Study patterns on images (e.g. face detection)],Which topics would you prefer to learn in this course? [Code data mining algorithms],Which topics would you prefer to learn in this course? [Use off-the-shelf data mining tools],Which of these games have you played?,How do you commute to ITU? ,In which order do you normally traverse these ITU locations?  [1 checkpoint],In which order do you normally traverse these ITU locations?  [2 checkpoint],In which order do you normally traverse these ITU locations?  [3 checkpoint],In which order do you normally traverse these ITU locations?  [4 checkpoint],In which order do you normally traverse these ITU locations?  [5 checkpoint],In which order do you normally traverse these ITU locations?  [6 checkpoint],In which order do you normally traverse these ITU locations?  [7 checkpoint],In which order do you normally traverse these ITU locations?  [8 checkpoint],In which order do you normally traverse these ITU locations?  [9 checkpoint],In which order do you normally traverse these ITU locations?  [10 checkpoint],In which order do you normally traverse these ITU locations?  [11 checkpoint],In which order do you normally traverse these ITU locations?  [12 checkpoint],In which order do you normally traverse these ITU locations?  [13 checkpoint],In which order do you normally traverse these ITU locations?  [14 checkpoint],In which order do you normally traverse these ITU locations?  [15 checkpoint],Write four (4) random numbers between 0 and 15,therb fortt glag,Pick a number,Favorite film?,Favorite TV-Show,Favorite Game,Which row are you sitting/did you sit in during the introduction lecture?,Which seat are you sitting/did you sit on during the introduction lecture?
2017/01/29 4:06:18 PM CET,34,male,34,34,GAMES-A,It may help me to find a job,34,iOS,Not interested,Not interested,Meh,Meh,Meh,Meh,Meh,Meh,Meh,Meh,Meh,Fifa 2017;Gone Home,Train,Not at ITU,Not at ITU,Atrium,Atrium,Atrium,Atrium,Atrium,Atrium,Atrium,Basement,Basement,Basement,Basement,Basement,Basement,344,,7,sdf,sdf,sdf,A,3
2017/01/29 7:09:48 PM CET,37,Female,39,169,SDT-DT,It may help me to find a job,Java; R;,iOS,Very interesting,Meh,Sounds interesting,Very interesting,Very interesting,Sounds interesting,Very interesting,Very interesting,Very interesting,Sounds interesting,Sounds interesting,Candy Crush;Angry Birds;The Last of Us,Walk,Not at ITU,Class/Auditorium,Atrium,Canteen,Elevator,Analog,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,ScrollBar,Study Room,Library,Basement,"7, 0, 8, 5",Option 1,7,The Shining,The Simpsons,Sonic,none,none
2017/01/29 7:23:49 PM CET,24,Man,49,205,SDT-DT,I am interested in the subject,"Java, SQL, Python",Android,Sounds interesting,Very interesting,Meh,Sounds interesting,Very interesting,Sounds interesting,Very interesting,Very interesting,Meh,Very interesting,Very interesting,Candy Crush;Wordfeud;Life is Strange;Journey;Gone Home;Stanley Parable;Rocket League;The Witness;Fallout 4;Dragon Age: Inquisition;Angry Birds,Bike,Basement,Atrium,Elevator,Class/Auditorium,Study Room,ScrollBar,Analog,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"4,5,1,10",,Asparagus,The Arrival,Nature programs,Faster than light,c,0
2017/01/30 1:23:38 AM CET,29,Male,41,170,SDT-SE,I am interested in the subject,"HTML, CSS, Java",Android,Not interested,Very interesting,Sounds interesting,Sounds interesting,Meh,Meh,Meh,Sounds interesting,Very interesting,Not interested,Very interesting,Battlefield 4;Call of Duty: Black Ops;Rise of the Tomb Raider;Counter Strike_ GO;Angry Birds,Bike;Walk,Basement,Elevator,Atrium,Class/Auditorium,Canteen,Analog,Study Room,Library,Elevator,Basement,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"2, 4, 8, 15",Option 1,13, A Clockwork Orange,Death Note,Assassin's Creed series,G,10
2017/01/30 7:35:13 AM CET,28,Male,43,176,SDT-DT,I am interested in the subject,"Java, JavaScript",iOS,Sounds interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Fifa 2017;Counter Strike_ GO;Angry Birds,Metro,Not at ITU,Basement,Atrium,Analog,Class/Auditorium,Basement,Atrium,Analog,Class/Auditorium,Basement,Atrium,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"1, 3, 9, 14",Option 1,13,Jurassic Park,Westworld,Fifa,C,6
2017/01/30 10:16:17 AM CET,23,Male,43,190,SDT-DT,I am interested in the subject,Java,iOS,Meh,Sounds interesting,Sounds interesting,Very interesting,Very interesting,Very interesting,Sounds interesting,Sounds interesting,Meh,Sounds interesting,Very interesting,Wordfeud;Minecraft;Battlefield 4;Rocket League;Counter Strike_ GO,Bike,Not at ITU,Basement,Atrium,Analog,Elevator,Class/Auditorium,Elevator,Atrium,Basement,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"15,14,13,12",Option 1,9,none,House MD,Arma,5,7
2017/01/30 10:17:08 AM CET,27,Male,44,186,SDT-AC,I am interested in the subject,"Javascript, Java, Python, C#, C++, C",Android,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Sounds interesting,Very interesting,Meh,Very interesting,Meh,Candy Crush;Wordfeud;Fifa 2017;Stanley Parable;Counter Strike_ GO;Angry Birds,Bike,Basement,Atrium,Class/Auditorium,Analog,Class/Auditorium,Canteen,Class/Auditorium,Analog,Class/Auditorium,Atrium,Basement,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"9,14,5,2",,9,Stranger Than Fiction,New Girl,Super Mario,D,20
2017/01/30 10:18:01 AM CET,27,Male,45,187,GAMES-T,It may help me to find a job,"C++, C#, Java, Javascript, GML.",Android,Sounds interesting,Sounds interesting,Sounds interesting,Meh,Sounds interesting,Not interested,Not interested,Sounds interesting,Sounds interesting,Very interesting,Sounds interesting,Minecraft;Stanley Parable;Call of Duty: Black Ops;Fallout 4;Counter Strike_ GO,Train;Metro,Class/Auditorium,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"0, 1, 2, 3",,13,Unbreakakbe,Buffy,Doom,Backmost,3
2017/01/30 10:18:09 AM CET,23,Male,"42,5",180,GAMES-T,This was a mandatory course for me,"Python, C++, C#, HTML, CSS",Android,Very interesting,Meh,Very interesting,Sounds interesting,Sounds interesting,Sounds interesting,Meh,Sounds interesting,Very interesting,Sounds interesting,Sounds interesting,Candy Crush;Wordfeud;Minecraft;Stanley Parable;Call of Duty: Black Ops;Rocket League;Fallout 4;Dragon Age: Inquisition;Counter Strike_ GO;Angry Birds;The Last of Us,Bike,Basement,Atrium,Analog,Atrium,Elevator,Class/Auditorium,Elevator,Canteen,Elevator,Class/Auditorium,Study Room,Elevator,Basement,Not at ITU,Not at ITU,"1, 7, 11, 13",,13,28 Days Later,Westworld,Half-Life 2,D,9
2017/01/30 10:18:21 AM CET,24,female,40,165,SDT-DT,I am interested in the subject,Java,Android,Sounds interesting,Very interesting,Sounds interesting,Sounds interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Sounds interesting,Sounds interesting,FarmVille,Train;Bus;Metro,Atrium,Class/Auditorium,Canteen,Class/Auditorium,Class/Auditorium,Atrium,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"7,8,3,12",Option 1,7,Lord of the Rings,Game of Thrones,Pandemic,F,12
2017/01/30 10:18:43 AM CET,24,female,40,172,SDT-DT,It may help me to find a job,JAVA,Android,Sounds interesting,Very interesting,Sounds interesting,Very interesting,Sounds interesting,Meh,Meh,Sounds interesting,Sounds interesting,Meh,Sounds interesting,I have not played any of these games,Bike,Basement,Elevator,Class/Auditorium,Atrium,Analog,Atrium,Canteen,Basement,Not at ITU,Basement,ScrollBar,Basement,Not at ITU,Basement,Class/Auditorium,"15,2,14,15",,9,Love Actually,"Sherlock,Project Runway",Tichu,E,13
2017/01/30 10:19:00 AM CET,26,Male,46,190,SDT-DT,I am interested in the subject,"Java, C#, Processing, Arduino",Android,Sounds interesting,Very interesting,Sounds interesting,Very interesting,Sounds interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Sounds interesting,Candy Crush;Wordfeud;Minecraft;Fifa 2017;Star Wars Battlefield;Battlefield 4;Journey;Gone Home;Stanley Parable;Call of Duty: Black Ops;Rocket League;Bloodthorne;Rise of the Tomb Raider;The Witness;Fallout 4;Counter Strike_ GO;Angry Birds;The Last of Us,Bike,Not at ITU,Basement,Atrium,Analog,Class/Auditorium,Canteen,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"6,8,13,8",,13,Fight Club,Fringe,Doom,E,seat.length-2
2017/01/30 10:19:28 AM CET,23,male,43,176,DIM,It may help me to find a job,"F#, Java, vba, javascript",Android,Not interested,Very interesting,Very interesting,Sounds interesting,Sounds interesting,Sounds interesting,Very interesting,Very interesting,Meh,Very interesting,Meh,Wordfeud;Minecraft;Fifa 2017;Star Wars Battlefield;Rocket League;Counter Strike_ GO,Bike,Basement,Canteen,Class/Auditorium,Canteen,Class/Auditorium,Basement,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"5, 12, 9, 7",,9,The pregstige,Westworld,Age of Empires 2,H,5
2017/01/30 10:19:41 AM CET,23,Male,46,193,GAMES-T,This was a mandatory course for me,"C++, Java, C#",Windows,Not interested,Not interested,Not interested,Meh,Not interested,Not interested,Not interested,Not interested,Meh,Not interested,Not interested,Minecraft;Fifa 2017;Battlefield 4;Stanley Parable;Call of Duty: Black Ops;Rocket League;Rise of the Tomb Raider;Fallout 4;Counter Strike_ GO,Train,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"1, 2, 3, 4",,Asparagus,Pulp fiction,Breaking bad,Mafia 1,D,6
2017/01/30 10:19:43 AM CET,27,Male,42,170,SDT-AC,The other optional courses were least appealing,Java C C++ Scala,Windows,Not interested,Sounds interesting,Sounds interesting,Sounds interesting,Meh,Meh,Meh,Meh,Meh,Not interested,Meh,Candy Crush;Counter Strike_ GO;Angry Birds,Bike,Basement,Atrium,Canteen,ScrollBar,Analog,Library,Class/Auditorium,Library,ScrollBar,Canteen,Basement,Atrium,Not at ITU,Atrium,Basement,"1,3,5,6",Option 1,13,"The Dark Knight, GodFather",US MasterChef,CounterStrike,C,1
2017/01/30 10:19:52 AM CET,24,Male,27,186,GAMES-T,This was a mandatory course for me,"c#, java, c++",Android,Sounds interesting,Sounds interesting,Meh,Sounds interesting,Meh,Meh,Meh,Meh,Sounds interesting,Sounds interesting,Sounds interesting,Wordfeud;Minecraft;Journey;Rocket League;Bloodthorne;The Last of Us,Bike;Walk;Train,Atrium,Analog,Class/Auditorium,Class/Auditorium,Canteen,Class/Auditorium,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"10, 12, 7, 3, 5",Option 1,7,Not really sure.,Blackadder (season 2-4),Persona 3,F,12
2017/01/30 10:19:55 AM CET,23,Male,46,190,SDT-DT,I am interested in the subject,"Java, C, Python, Matlab",iOS,Sounds interesting,Very interesting,Sounds interesting,Very interesting,Very interesting,Very interesting,Very interesting,Sounds interesting,Very interesting,Sounds interesting,Sounds interesting,Candy Crush;FarmVille;Fifa 2017;Life is Strange;Counter Strike_ GO;Angry Birds;The Last of Us,Bike;Train,Basement,Atrium,Elevator,Class/Auditorium,Canteen,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"13, 7, 4, 9",,7,Forrest Gump,House of Cards,Max Payne,5,14
2017/01/30 10:20:03 AM CET,28,Female,36,155,SDT-DT,I am interested in the subject,Java,iOS,Very interesting,Very interesting,Sounds interesting,Sounds interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Sounds interesting,I have not played any of these games,Walk,Atrium,Analog,Class/Auditorium,Atrium,Canteen,Atrium,Analog,Atrium,Class/Auditorium,Atrium,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"0, 4, 5, 14",Option 1,7,Mulan,Girls,Super Smash Brothers,C,8
2017/01/30 10:20:12 AM CET,24,Male,45,192,SDT-DT,I am interested in the subject,Java,Windows,Sounds interesting,Very interesting,Meh,Sounds interesting,Very interesting,Meh,Meh,Sounds interesting,Not interested,Very interesting,Very interesting,Candy Crush;Wordfeud;FarmVille;Fifa 2017;Star Wars Battlefield;Counter Strike_ GO;Angry Birds,Bike;Train;Metro,Not at ITU,Basement,Canteen,Class/Auditorium,Canteen,Class/Auditorium,Library,Library,Library,Library,Canteen,Library,Library,Basement,Basement,"1,6,0,14",,13,Wolf of Wallstreet,Billions,Call Of Duty,B,9
2017/01/30 10:20:13 AM CET,22,Male,41,182,SDT-SE,I am interested in the subject,"Java, C#, C, F#, Python, Scala",Android,Meh,Sounds interesting,Sounds interesting,Very interesting,Very interesting,Very interesting,Sounds interesting,Very interesting,Meh,Very interesting,Meh,Candy Crush;Wordfeud;Minecraft;Battlefield 4;Call of Duty: Black Ops;Rocket League;Counter Strike_ GO;Angry Birds,Walk,Not at ITU,Atrium,Elevator,Class/Auditorium,Elevator,Atrium,Canteen,Atrium,Elevator,Class/Auditorium,Elevator,Atrium,Not at ITU,Atrium,Class/Auditorium,"1, 4, 7, 14",Option 1,Asparagus,"The Dark Knight, Avengers, Harry Potter, LODR","Supernatural, The Flash, Breaking Bad",Rocket League,C,1
2017/01/30 10:20:18 AM CET,30,Male,41,170,SDT-SE,I am interested in the subject,"JAVA, C++, HTML",Android,Not interested,Very interesting,Sounds interesting,Sounds interesting,Sounds interesting,Meh,Meh,Sounds interesting,Very interesting,Meh,Sounds interesting,Star Wars Battlefield;Battlefield 4;Call of Duty: Black Ops;Rise of the Tomb Raider;Dragon Age: Inquisition;Counter Strike_ GO;Angry Birds;The Last of Us,Bike;Walk,Not at ITU,Basement,Elevator,Atrium,Class/Auditorium,Canteen,Library,Study Room,Elevator,Basement,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"0,2,8,15",Option 1,13,The Lord of the Rings: The Two Towers,"Friends, Dexter, House",Battlefield Bad Company 2,E,3
